date,name,area,department,label,url,content
2018-04-01 00:04:00,《四川电网2018年电力市场年度供需预测信息披露》,四川,国网四川省电力公司,电力供需 用电量 预测 电网运行 检修 外送市场 输配电工程建设,,《四川电网2018年电力市场年度供需预测信息披露》国网四川省电力公司电力供需 用电量 预测 电网运行 检修 外送市场 输配电工程建设
2018-01-24 00:04:00,《2018年 5~10 月精准扶贫电量分解计划》,四川,四川电力调度控制中心,精准扶贫电量 网供用电量,,《2018年 5~10 月精准扶贫电量分解计划》四川电力调度控制中心精准扶贫电量 网供用电量
2018-01-24 00:04:00,《2018年 5~10 月水电计划电量（优先发电量）分解计划》,四川,四川电力调度控制中心,水电计划电量 网供用电量,,《2018年 5~10 月水电计划电量（优先发电量）分解计划》四川电力调度控制中心水电计划电量 网供用电量
2018-01-25 00:04:00,《关于发布2018年1-4月电力直接交易火电配置情况的公告》,四川,四川电力交易中心有限公司,火电 火电优先计划 加权均价,https://mp.weixin.qq.com/s/gSJCxIQ1SOhRwwgUMOp0yg,《关于发布2018年1-4月电力直接交易火电配置情况的公告》四川电力交易中心有限公司火电 火电优先计划 加权均价
2018-01-25 00:04:00,《关于常规直接交易年度集中交易丰枯结构折价系数（K值）限值的通知》,四川,四川电力交易中心有限公司,常规直接交易 年度集中交易 丰枯结构 折价系数 K值 签约价格 成交价格,https://mp.weixin.qq.com/s/cYgf8ATWXq4qkX7pnTjWqA,《关于常规直接交易年度集中交易丰枯结构折价系数（K值）限值的通知》四川电力交易中心有限公司常规直接交易 年度集中交易 丰枯结构 折价系数 K值 签约价格 成交价格
2018-01-07 00:05:00,《关于2018年直接交易年度双边交易合规性初步审查结果的公告》,四川,四川电力交易中心有限公司,直接交易 年度双边交易 合规性审核,https://mp.weixin.qq.com/s/rKpNXjkCtNS_SnLh5B_HtQ,《关于2018年直接交易年度双边交易合规性初步审查结果的公告》四川电力交易中心有限公司直接交易 年度双边交易 合规性审核
2018-01-10 00:05:00,《关于开展2018年富余电量用户注册的通知》,四川,四川电力交易中心有限公司,富余电量 用户注册 资料提交 富余电量基数,https://mp.weixin.qq.com/s/FYyd4yV1N_R-7N4KwMPbbg,《关于开展2018年富余电量用户注册的通知》四川电力交易中心有限公司富余电量 用户注册 资料提交 富余电量基数
2018-01-11 00:05:00,《关于申报2018年常规直接交易年度集中竞价交易电量需求的公告》,四川,四川电力交易中心有限公司,常规直接交易 年度集中交易 申报电量,https://mp.weixin.qq.com/s/EVE66fR8_kugZ63au88bjQ,《关于申报2018年常规直接交易年度集中竞价交易电量需求的公告》四川电力交易中心有限公司常规直接交易 年度集中交易 申报电量
2018-01-11 00:05:00,《关于2018年直接交易年度双边交易电量合规校核结果的公告》,四川,四川电力交易中心有限公司,直接交易 年度双边交易 合规性校核,https://mp.weixin.qq.com/s/NiX9gmHJD9-dT2eozSyJRg,《关于2018年直接交易年度双边交易电量合规校核结果的公告》四川电力交易中心有限公司直接交易 年度双边交易 合规性校核
2018-01-16 00:05:00,《关于开展2018年常规直接交易年度集中竞价交易的公告》,四川,四川电力交易中心有限公司,常规直接交易 年度集中竞价 市场主体 交易电量 交易电价 交易方式 交易时间,https://mp.weixin.qq.com/s/mMz7kNolvZlJg1sDmL2R4g,《关于开展2018年常规直接交易年度集中竞价交易的公告》四川电力交易中心有限公司常规直接交易 年度集中竞价 市场主体 交易电量 交易电价 交易方式 交易时间
2018-01-18 00:05:00,《关于开展2018年自备电厂停发替代年度挂牌交易的公告》,四川,四川电力交易中心有限公司,自备电厂停发替代 年度挂牌交易 市场主体 交易电量 交易方式 交易时间,https://mp.weixin.qq.com/s/2SDvwVsQT4FiW_Wejp9AUg,《关于开展2018年自备电厂停发替代年度挂牌交易的公告》四川电力交易中心有限公司自备电厂停发替代 年度挂牌交易 市场主体 交易电量 交易方式 交易时间
